"titleid","title","numvotes","original_rating","bayesian_ranking"
"tt0111161","The Shawshank Redemption",3051257,"9.3","9.3"
"tt0068646","The Godfather",2130203,"9.2","9.2"
"tt0252487","The Chaos Class",44553,"9.2","9.1"
"tt0071562","The Godfather Part II",1433276,"9.0","9.0"
"tt0050083","12 Angry Men",928720,"9.0","9.0"
"tt0108052","Schindler's List",1527036,"9.0","9.0"
"tt0468569","The Dark Knight",3027186,"9.0","9.0"
"tt0167260","The Lord of the Rings: The Return of the King",2082492,"9.0","9.0"
"tt33175825","Attack on Titan the Movie: The Last Attack",16903,"9.2","9.0"
"tt0110912","Pulp Fiction",2340102,"8.9","8.9"
"tt0259534","Ramayana: The Legend of Prince Rama",16457,"9.1","8.9"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring",2112593,"8.9","8.9"
"tt0167261","The Lord of the Rings: The Two Towers",1877330,"8.8","8.8"
"tt0137523","Fight Club",2471362,"8.8","8.8"
"tt0060196","The Good, the Bad and the Ugly",856152,"8.8","8.8"
"tt1375666","Inception",2689641,"8.8","8.8"
"tt5354160","Mirror Game",30490,"8.9","8.8"
"tt21272942","The Strangers' Case",8366,"9.3","8.8"
"tt0109830","Forrest Gump",2384471,"8.8","8.8"
"tt0253828","Tosun Pasha",25577,"8.9","8.8"
"tt0816692","Interstellar",2351885,"8.7","8.7"
"tt5275892","O.J.: Made in America",23168,"8.9","8.7"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back",1445824,"8.7","8.7"
"tt0073486","One Flew Over the Cuckoo's Nest",1119103,"8.7","8.7"
"tt23849204","12th Fail",149091,"8.7","8.7"
"tt0099685","Buenos muchachos",1329074,"8.7","8.7"
"tt0133093","Matrix",2159800,"8.7","8.7"
"tt0038650","It's a Wonderful Life",528724,"8.6","8.6"
"tt16747572","The Silence of Swastika",10655,"8.9","8.6"
"tt0317248","City of God",839006,"8.6","8.6"
"tt7466810","777 Charlie",43315,"8.7","8.6"
"tt0249795","Mayabazar",6545,"9.1","8.6"
"tt0114369","Seven",1915491,"8.6","8.6"
"tt0120689","The Green Mile",1488835,"8.6","8.6"
"tt15097216","Jai Bhim",226452,"8.6","8.6"
"tt0253779","The Foster Brothers",21833,"8.8","8.6"
"tt0120815","Saving Private Ryan",1573040,"8.6","8.6"
"tt0245429","Spirited Away",912929,"8.6","8.6"
"tt10189514","Soorarai Pottru",127983,"8.6","8.6"
"tt0056058","Harakiri",80194,"8.6","8.6"
"tt0102926","The Silence of the Lambs",1639341,"8.6","8.6"
"tt0075143","The Message",11442,"8.9","8.6"
"tt0103064","Terminator 2: Judgment Day",1235060,"8.6","8.6"
"tt0118799","Life Is Beautiful",779959,"8.6","8.6"
"tt0252488","The Chaos Class Failed the Class",26748,"8.7","8.6"
"tt0047478","Seven Samurai",385398,"8.6","8.6"
"tt0076759","Star Wars",1513110,"8.6","8.6"
"tt0064116","Once Upon a Time in the West",369083,"8.5","8.5"
"tt0021749","City Lights",207401,"8.5","8.5"
"tt0482571","The Prestige",1517822,"8.5","8.5"
