"decade","genre","movies_produced"
"2010s","Drama","30128"
"2010s","Documentary","21366"
"2010s","Comedy","15836"
"2020s","Drama","14580"
"2000s","Drama","12770"
"2020s","Documentary","9641"
"2000s","Documentary","7947"
"2000s","Comedy","7805"
"2020s","Comedy","7745"
"2010s","Horror","7728"
"2010s","Thriller","7682"
"1990s","Drama","6991"
"2010s","Action","6737"
"2010s","Romance","6102"
"1970s","Drama","5613"
"2020s","Thriller","5239"
"1980s","Drama","5219"
"2010s","Crime","5113"
"2020s","Horror","4964"
"1960s","Drama","4753"
"2010s","Biography","4738"
"1930s","Drama","4434"
"2010s","Adventure","4391"
"1950s","Drama","4240"
"1990s","Comedy","4185"
"1920s","Drama","3974"
"2020s","Action","3932"
"2010s","Mystery","3675"
"2010s","History","3540"
"1940s","Drama","3508"
"2000s","Romance","3435"
"2010s","Family","3423"
"1980s","Comedy","3145"
"2000s","Thriller","2935"
"2000s","Action","2926"
"2020s","Crime","2892"
"1970s","Comedy","2879"
"2000s","Horror","2818"
"2020s","Romance","2787"
"1910s","Drama","2604"
"2000s","Crime","2578"
"2010s","Music","2489"
"1930s","Comedy","2484"
"2010s","Fantasy","2463"
"1990s","Action","2411"
"2010s","Sci-Fi","2357"
"1960s","Comedy","2122"
"1930s","Romance","2088"
"1990s","Documentary","2011"
"1990s","Romance","2008"
