"year","n_movies","average_length","std_minutes_length","q1_minutes_length","q2_minutes_length","q3_minutes_length"
2025,"8712","48.96","49.66","11.00","29.00","85.00"
2024,"24935","49.01","48.80","11.00","30.00","85.00"
2023,"28030","49.86","229.05","11.00","30.00","83.00"
2022,"31274","46.96","48.24","11.00","32.00","75.00"
2021,"35057","46.92","121.69","11.00","30.00","72.00"
2020,"36657","44.86","240.47","10.00","27.00","65.00"
2019,"40962","45.86","298.08","10.00","27.00","66.00"
2018,"44580","41.18","46.60","10.00","22.00","60.00"
2017,"43170","41.59","57.03","9.00","22.00","60.00"
2016,"41987","40.82","53.79","9.00","22.00","60.00"
2015,"40775","41.21","53.07","9.00","22.00","60.00"
2014,"41356","39.78","57.50","9.00","22.00","58.00"
2013,"38453","40.21","47.87","9.00","22.00","60.00"
2012,"35561","43.40","277.38","9.00","22.00","61.00"
2011,"33403","43.07","202.97","9.00","23.00","63.00"
2010,"30393","165.18","21177.78","10.00","25.00","68.00"
2009,"27151","46.61","52.48","11.00","29.00","78.00"
2008,"22458","51.29","53.96","12.00","34.00","85.00"
2007,"20258","53.57","52.40","14.00","42.00","87.00"
2006,"19262","56.22","59.58","16.00","44.00","89.00"
2005,"17807","59.21","50.96","20.00","45.00","90.00"
2004,"16050","61.56","51.67","22.00","53.00","92.00"
2003,"13531","62.31","50.05","23.00","57.00","91.00"
2002,"11651","61.04","49.02","23.00","56.00","90.00"
2001,"10206","63.25","67.59","24.00","60.00","90.00"
2000,"9545","65.18","79.81","29.00","60.00","90.00"
1999,"9045","64.57","64.58","30.00","58.00","90.00"
1998,"8297","63.85","40.92","30.00","60.00","91.00"
1997,"7830","63.34","50.84","30.00","59.00","90.00"
1996,"6911","63.75","39.91","30.00","60.00","90.00"
1995,"6713","64.45","39.94","30.00","60.00","90.00"
1994,"6241","64.17","50.93","30.00","60.00","90.00"
1993,"5600","64.47","41.33","30.00","60.00","90.00"
1992,"5132","64.64","44.76","30.00","60.00","90.00"
1991,"4813","64.07","41.49","30.00","60.00","90.00"
1990,"4797","61.62","37.10","30.00","60.00","90.00"
1989,"4966","62.81","42.62","30.00","60.00","90.00"
1988,"4467","64.91","40.04","30.00","60.00","90.00"
1987,"4720","62.29","86.85","30.00","60.00","90.00"
1986,"4470","61.72","39.15","30.00","60.00","89.00"
1985,"4449","61.46","44.04","28.00","60.00","89.00"
1984,"3763","63.69","39.82","30.00","60.00","90.00"
1983,"3544","63.12","38.47","30.00","60.00","90.00"
1982,"3357","64.78","97.46","30.00","60.00","90.00"
1981,"3248","64.14","40.22","30.00","60.00","92.00"
1980,"2967","68.01","54.27","30.00","60.00","95.00"
1979,"3219","64.20","45.75","30.00","60.00","92.00"
1978,"3261","63.52","44.00","30.00","60.00","90.00"
1977,"3110","63.10","42.56","30.00","60.00","90.00"
1976,"3149","62.61","42.04","30.00","60.00","90.00"
