"genre_1","genre_2","titles_with_both_genres"
"Drama","Short","136589"
"Comedy","Short","123183"
"Documentary","Short","71993"
"Comedy","Drama","55624"
"Crime","Drama","47269"
"Drama","Romance","40985"
"Horror","Short","35227"
"Action","Adventure","35005"
"Animation","Comedy","32001"
"Action","Drama","31254"
"Comedy","Family","28280"
"Comedy","Romance","27715"
"Animation","Short","25711"
"Drama","Mystery","24318"
"Adventure","Animation","24083"
"Comedy","Talk-Show","23169"
"Short","Thriller","21866"
"Adventure","Comedy","21278"
"Action","Crime","20584"
"Drama","Thriller","18423"
"Music","Short","17950"
"News","Talk-Show","17065"
"Action","Comedy","16455"
"Comedy","Music","16013"
"Adventure","Drama","15479"
"Biography","Documentary","15459"
"Action","Animation","15089"
"Sci-Fi","Short","14550"
"Crime","Mystery","14550"
"Action","Short","14505"
"Drama","Family","14500"
"Romance","Short","14483"
"Drama","Fantasy","14243"
"Documentary","History","13091"
"Drama","Horror","12887"
"Comedy","Crime","12442"
"Animation","Family","12059"
"Comedy","Horror","11501"
"Horror","Thriller","10780"
"Comedy","Fantasy","10554"
"Fantasy","Short","10487"
"Family","Short","10349"
"Crime","Short","9115"
"Family","Game-Show","8491"
"Music","Talk-Show","8340"
"Drama","Sci-Fi","8208"
"Crime","Thriller","7887"
"Biography","Drama","7679"
"Mystery","Short","7658"
"Documentary","Music","7490"
