"director","n_movies","n_votes","w_avg_rating","simple_avg"
"Christopher Nolan","16","17295819","7.91","7.68"
"Steven Spielberg","56","15281545","7.15","6.93"
"Quentin Tarantino","18","12516773","7.85","7.78"
"Martin Scorsese","64","11248631","7.42","7.29"
"Ridley Scott","39","9648816","6.99","6.88"
"David Fincher","30","9623987","7.44","7.21"
"Peter Jackson","24","9353998","7.93","7.96"
"Robert Zemeckis","32","7901803","7.03","6.95"
"James Cameron","20","6849955","7.44","7.33"
"Tim Burton","38","6080678","6.88","6.66"
"Clint Eastwood","41","5861896","7.00","6.95"
"Francis Ford Coppola","34","5677437","6.66","6.36"
"Joel Coen","23","5503406","7.23","6.94"
"Stanley Kubrick","16","5438398","7.51","7.33"
"Guy Ritchie","22","5181321","6.97","6.83"
"Bryan Singer","18","5118351","7.20","7.07"
"Zack Snyder","19","5073492","6.79","6.80"
"Ron Howard","46","5069693","6.72","6.48"
"Joe Russo","48","5048090","7.55","7.31"
"Denis Villeneuve","16","5012318","7.31","7.00"
"Anthony Russo","35","5009003","7.41","7.30"
"Frank Darabont","11","5001737","7.78","7.53"
"Michael Bay","26","4948945","6.34","6.27"
"Todd Phillips","16","4846912","6.66","6.59"
"M. Night Shyamalan","22","4491832","6.47","6.56"
"Lana Wachowski","27","4465843","7.71","7.83"
"Sam Raimi","28","4335557","6.74","6.54"
"George Lucas","17","4251236","6.59","6.35"
"David Yates","13","4216961","7.15","7.18"
"Alfred Hitchcock","74","4147307","7.06","6.97"
"Lilly Wachowski","17","4141175","7.45","7.51"
"Gore Verbinski","12","4115499","6.91","6.85"
"Sam Mendes","12","4036566","7.58","7.64"
"Chris Columbus","19","3895387","6.61","6.57"
"Danny Boyle","18","3835646","7.33","7.29"
"James Mangold","15","3788824","7.20","7.17"
"Steven Soderbergh","79","3777539","6.99","7.02"
"Jon Favreau","21","3662618","7.00","6.84"
"Robert Rodriguez","50","3604172","6.49","6.54"
"Pete Docter","10","3511496","7.46","7.11"
"Woody Allen","56","3502590","6.92","6.88"
"J.J. Abrams","18","3469462","7.14","6.69"
"Francis Lawrence","20","3466245","7.18","7.23"
"Wes Anderson","27","3371111","7.13","7.06"
"Shawn Levy","32","3362616","7.06","7.05"
"Hayao Miyazaki","26","3359585","7.76","7.66"
"Darren Aronofsky","16","3352561","6.96","6.69"
"James Wan","15","3333707","6.72","6.63"
"James Gunn","18","3304627","7.36","7.07"
"Matthew Vaughn","9","3274140","7.06","6.99"
