"actor1","actor2","films_together"
"Nancy Cartwright","Dan Castellaneta","832"
"Julie Kavner","Dan Castellaneta","821"
"Nancy Cartwright","Yeardley Smith","817"
"Dan Castellaneta","Yeardley Smith","816"
"Julie Kavner","Nancy Cartwright","816"
"Julie Kavner","Yeardley Smith","812"
"Nancy Cartwright","Harry Shearer","800"
"Dan Castellaneta","Harry Shearer","799"
"Hank Azaria","Yeardley Smith","799"
"Julie Kavner","Harry Shearer","799"
"Harry Shearer","Yeardley Smith","797"
"Hank Azaria","Dan Castellaneta","796"
"Hank Azaria","Nancy Cartwright","796"
"Hank Azaria","Julie Kavner","793"
"Hank Azaria","Harry Shearer","791"
"Judy Graubart","Jim Boyd","782"
"Judy Graubart","Skip Hinnant","782"
"June Angela","Jim Boyd","782"
"June Angela","Judy Graubart","782"
"June Angela","Skip Hinnant","782"
"Morgan Freeman","Rita Moreno","782"
"Skip Hinnant","Jim Boyd","782"
"Morgan Freeman","Jim Boyd","781"
"Morgan Freeman","Judy Graubart","781"
"Morgan Freeman","June Angela","781"
"Morgan Freeman","Skip Hinnant","781"
"Rita Moreno","Jim Boyd","781"
"Rita Moreno","Judy Graubart","781"
"Rita Moreno","June Angela","781"
"Rita Moreno","Skip Hinnant","781"
"June Angela","Luis Avalos","652"
"Luis Avalos","Jim Boyd","652"
"Luis Avalos","Judy Graubart","652"
"Luis Avalos","Skip Hinnant","652"
"Morgan Freeman","Luis Avalos","651"
"Rita Moreno","Luis Avalos","651"
"James Arness","Milburn Stone","606"
"Dan Castellaneta","Pamela Hayden","596"
"Julie Kavner","Pamela Hayden","595"
"Nancy Cartwright","Pamela Hayden","595"
"Pamela Hayden","Harry Shearer","594"
"Pamela Hayden","Yeardley Smith","593"
"Hank Azaria","Pamela Hayden","589"
"James Arness","Amanda Blake","571"
"Amanda Blake","Milburn Stone","556"
"Hattie Winston","Jim Boyd","522"
"Judy Graubart","Hattie Winston","522"
"June Angela","Hattie Winston","522"
"Luis Avalos","Hattie Winston","522"
"Morgan Freeman","Hattie Winston","522"
